Provider_Name,Facility_Type,Town,Address,Phone,Website,Subsidized_Childcare,License_Number,Type,Effective_Date,Ages,Max_Capacity,Tuition_Insight,Tuition_Notes,State_Link
Forrestal Academy,Child Care Center,Huntersville,"14016 BOREN STREET
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 584-5100,https://www.forrestalacademy.com,No,60003576,Five Star Center License,10/13/2021,0-12,195,Data not available,"not on website, didn't pick up, sent email",https://ncchildcare.ncdhhs.gov/childcaresearch
Grand Oak Bsep/Asep,Child Care Center,Huntersville,"15410 STUMPTOWN ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-2063,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/225/grand-oak-elementary,Yes,60003541,Five Star Center License,3/3/2020,5-12,150,$80 per week,"$80/wk (3:00-6:00 after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
Huntersville Elementary Asep,Child Care Center,Huntersville,"200 GILEAD ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-3835,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/230/huntersville-elementary,Yes,60001016,Five Star Center License,10/8/2024,5-12,183,$80 per week,"$80/wk (3:00-6:00 after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
Kids R Kids Lake Norman,Child Care Center,Huntersville,"9620 NORTHCROSS CENTER CT
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 655-8883,https://kidsrkids.com/lake-norman/,Yes,60003998,Five Star Center License,12/8/2023,0-12,"268 (first shift), 268 (second shift)",Data not available,"not on website, email amandaf@kidsrkidslkn.com",https://ncchildcare.ncdhhs.gov/childcaresearch
Kindercare - Huntersville,Child Care Center,Huntersville,"12700 STATESVILLE RD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 947-5035,https://www.kindercare.com/our-centers/huntersville/nc/086077,Yes,60004209,Four Star Center License,9/22/2022,0-12,199,Data not available,"accepts final aid/support, but tuition not listed, did not pick up",https://ncchildcare.ncdhhs.gov/childcaresearch
La Petite Academy Inc.,Child Care Center,Huntersville,"102 COMMERCE CENTER DRIVE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 875-0399,https://www.lapetite.com/your-local-school/huntersville-nc-7470/,Yes,6055742,Four Star Center License,12/1/2017,0-12,151,$137-415 per week,"7 age groups, infants $415/wk full-time, toddlers full time 5 day $415, 2s $387/wk, early preschool $375/wk, all prev included diapers + wipes, preschool $324, prek $324, before + after school clubs $164, after only $137, full time if sick/break $217/wk",https://ncchildcare.ncdhhs.gov/childcaresearch
Lightbridge Academy of Huntersville,Child Care Center,Huntersville,"12830 Eastfield Road
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 610-6285,https://lightbridgeacademy.com/huntersville-nc/,No,60004243,One Star Center License,11/20/2023,0-6,185,$356-432 per week,"part + full time, infants 6wk-12mo full-time $1725/month, pre-tod 1yr full-time $1650/month 3-day $1325/month 2-day $1220/month, toddler 2s full-time $1600/month 3-day $1300/month 2-day $1200/month, preschool 3s full-time $1525/month 3-day $1200/month 2-day $1125/month, 4-5s full-time $1425/month 3-day $1125/month 2-day $1025/month",https://ncchildcare.ncdhhs.gov/childcaresearch
Long Creek Asep,Child Care Center,Huntersville,"9213 BEATTIES FORD RD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-6095,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/274/long-creek-elementary,Yes,60000414,Five Star Center License,6/11/2018,5-12,125,$57-115 per week,"$57/wk (6:45-8:45 before school)
$63/wk (3:45-6:00 after school)
$115/wk (before & after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
North Academy of World Languages Asep,Child Care Center,Huntersville,"12201 HAMBRIGHT RD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-5567,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/266/north-academy-of-world-languages-k-8,No,60004157,Three Star Center License,3/14/2022,5-12,150,$52-115 per week,"$68/wk (9:15-8:30 before school)
$52/wk (4:15-6:00 after school)
$115/wk (before & after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
Primrose School of Huntersville,Child Care Center,Huntersville,"9552 KINCEY AVENUE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 875-7700,https://www.primroseschools.com/schools/huntersville,No,60003617,One Star Center License,1/21/2015,0-12,169,Data not available,"can't find on website
called twice and they pick up then hang up??",https://ncchildcare.ncdhhs.gov/childcaresearch
The Goddard School of Huntersville,Child Care Center,Huntersville,"9534 KINCEY AVE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 489-3893,https://www.google.com/search?client=safari&rls=en&q=The+Goddard+School+of+Huntersville&ie=UTF-8&oe=UTF-8,Yes,60004056,Three Star Center License,2/21/2022,0-6,134,$363-4437 per week,"for 5 full days:
1745 per month (infants)
1650 per month (toddlers)
1585 per month (2s)
1500 per month (pre school)
1450 per month (pre K)
Also offer 4 full days, 5 half days, and 4 half days",https://ncchildcare.ncdhhs.gov/childcaresearch
The Learning Experience,Child Care Center,Huntersville,"16604 OLD STATESVILLE ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 274-9496,https://thelearningexperience.com/centers/aldie-2/,Yes,60003798,One Star Center License,6/18/2017,0-8,178,Data not available,"hours are 6:30am-6:30pm,
didn't pick up, left a voicemail",https://ncchildcare.ncdhhs.gov/childcaresearch
The Learning Tree,Child Care Center,Huntersville,"8519 GILEAD ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 948-3561,https://thelearningtreelfc.org,No,60003987,GS 110-106,10/3/2019,0-5,140,$125-360 per week,"$1440/month (infants)
$1300/month (1 yr old)
$1295/month (2 yr old)
$1245/month (3 yr old)
$1240/month (4 yr old)
$500/month (3 & 4 yr old half day)",https://ncchildcare.ncdhhs.gov/childcaresearch
The Sunshine House,Child Care Center,Huntersville,"14420 REESE BOULVARD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 948-6686,https://sunshinehouse.com/center/sunshine-house-of-huntersville/,Yes,60002302,Four Star Center License,12/21/2017,0-12,165,Data not available,"Childcare costs vary by location, your child’s age, and your scheduling needs. We’d love to discuss your options—please contact us so we can walk you through our program and care options. they're gonna respond soon",https://ncchildcare.ncdhhs.gov/childcaresearch
Tiny Hands and Feet,Family Child Care Home,Huntersville,"11711 RAINY BEND DRIVE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 649-4100,Data not available,Yes,60003047,Five Star Family CC Home License,7/14/2022,0-12,"8 (first shift), 5 (second shift)",Data not available,"didn't pick up, emailed",https://ncchildcare.ncdhhs.gov/childcaresearch
Torrence Creek Elementary Asep,Child Care Center,Huntersville,"14550 RANSON ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-0695,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/250/torrence-creek-elementary,Yes,60002565,Five Star Center License,4/16/2018,4-12,125,$51-115 per week,"$51/wk (6:45-8:30 before school)
$69/wk (3:30-6:00 after school)
$115/wk (before & after school)
$??/yr (6:45-6:00 workday/early release)",https://ncchildcare.ncdhhs.gov/childcaresearch
University Child Dev. Center at Northcross,Child Care Center,Huntersville,"16701 NORTHCROSS DRIVE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 896-8942,https://universitycdc.com/,Yes,60000296,Five Star Center License,6/12/2019,0-12,199,$315-365 per week,"Daycare: 7am-5pm, $150 yearly registration fee
$365 / week (infant)
$340 / week (toddler)
$330 / week (2 year old)
$315 / week (pre-K)
NC pre-K program through CMS: 8:15-2:30
After school care: $150 / week
Sibling discount
",https://ncchildcare.ncdhhs.gov/childcaresearch
Woods Montessori School,Child Care Center,Huntersville,"15115 NORMAN VIEW LN
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 885-5080,https://www.woodsmontessorischool.com/,No,60004400,Temporary License,6/17/2025,0-6,221,Data not available,"not listed, have to book a consult",https://ncchildcare.ncdhhs.gov/childcaresearch
