,id,lat,lon,Facility Type,Town,Address,Phone,Website,Vouchers,Number,Type,Effective Date,Ages,...12
21,La Petite Academy Inc.,35.41213442,-80.85145988,Child Care Center,Huntersville,"102 COMMERCE CENTER DRIVE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 875-0399,https://www.lapetite.com/your-local-school/huntersville-nc-7470/,Yes,6055742,Four Star Center License,12/1/2017,0-12,The tuition that you pay will be based on your child’s attendance schedule and their school location. Please call 855.233.6633 for more specific information and a personalized quote.
22,LeafSpring School at Cornelius,35.459942,-80.8691922,Child Care Center,Cornelius,"18110 Statesville Road
CORNELIUS, NC  28031
Mecklenburg County",(704) 235-3020,https://cornelius.leafspringschool.com,No,60004373,Four Star Center License,5/1/2025,0-5,not on website
23,LeafSpring School at Cornelius - The Village,35.4600876,-80.8692499,Child Care Center,Cornelius,"18120 Statesville Road
CORNELIUS, NC  28031
Mecklenburg County",(704) 235-3020,https://cornelius.leafspringschool.com/program/school-age-recreation-in-the-village/,No,60004372,Four Star Center License,5/1/2025,12-Mar,not on website
24,Lightbridge Academy of Huntersville,35.38261887,-80.78754293,Child Care Center,Huntersville,"12830 Eastfield Road
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 992-5644,https://www.google.com/search?client=safari&rls=en&q=Lightbridge+Academy+of+Huntersville&ie=UTF-8&oe=UTF-8,No,60004243,One Star Center License,11/20/2023,0-6,have to call center director
25,Little Life Academy,35.4760366,-80.87538,Child Care Center,Cornelius,"20010 CHARTOWN DRIVE
CORNELIUS, NC  28031
Mecklenburg County",(704) 312-1055,https://www.littlelifeacademy.org,No,60003842,GS 110-106,9/28/2017,5-Feb,$280 weekly
26,Long Creek Asep,35.3504789,-80.8884076,Child Care Center,Huntersville,"9213 BEATTIES FORD RD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-6095,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/274/long-creek-elementary,Yes,60000414,Five Star Center License,6/11/2018,12-May,"$57/wk (6:45-8:45 before school)
$63/wk (3:45-6:00 after school)
$115/wk (before & after school)
$??/yr (6:45-6:00 workday/early release)"
27,North Academy of World Languages Asep,35.37748,-80.8352566,Child Care Center,Huntersville,"12201 HAMBRIGHT RD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-5567,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/266/north-academy-of-world-languages-k-8,No,60004157,Three Star Center License,3/14/2022,12-May,"$68/wk (9:15-8:30 before school)
$52/wk (4:15-6:00 after school)
$115/wk (before & after school)
$??/yr (6:45-6:00 workday/early release)"
28,Primrose School of Cornelius,35.4773223,-80.8890626,Child Care Center,Cornelius,"19640 JETTON ROAD
CORNELIUS, NC  28031
Mecklenburg County",(704) 895-3300,https://www.primroseschools.com/schools/cornelius,Yes,60003089,One Star Center License,5/7/2013,0-12,"determined by each independently owned and operated school and varies based on the child’s age and the school location
THEY SHUT ME DOWN (cordially)"
29,Primrose School of Huntersville,35.4029567,-80.8679555,Child Care Center,Huntersville,"9552 KINCEY AVENUE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 875-7700,https://www.primroseschools.com/schools/huntersville,No,60003617,One Star Center License,1/21/2015,0-12,can't find on website
30,The Children’s House,35.5073352,-80.8532048,Child Care Center,Davidson,"412 ARMOUR STREET
DAVIDSON, NC  28036
Mecklenburg County",(704) 975-6753,https://thechildrenshouse.us,No,60003673,One Star Center License,2/25/2016,6-Jan,"$11,024 (Morning 8 AM-11:45 AM)
$13,054 (School Day 8 AM – 2:25 PM)
$14,569 (School Day+ 8 AM – 3:25 PM)
$16,826 (Full Day 7:45 AM – 4:25 PM)"
31,The Goddard School of Cornelius,35.4787888,-80.8859882,Child Care Center,Cornelius,"18110 MANHATTEN PARKWAY
CORNELIUS, NC  28031
Mecklenburg County",(704) 894-0454,https://www.goddardschool.com/schools/nc/cornelius/cornelius,Yes,60004008,Four Star Center License,5/2/2020,0-12,"5 days a week, 7AM - 6PM
Infant: $1780/month
1: $1865/month
1/2: $1536/month
2/3: $1447/month
3/4: $1427/month

No fee to be on waitlist
Whether there is a waitlist depends on age (as you trend younger there tends to be one)"
32,The Goddard School of Huntersville,35.4026741,-80.8685435,Child Care Center,Huntersville,"9534 KINCEY AVE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 489-3893,https://www.google.com/search?client=safari&rls=en&q=The+Goddard+School+of+Huntersville&ie=UTF-8&oe=UTF-8,No,60004056,Three Star Center License,2/21/2022,0-12,have to contact
33,The Learning Experience,35.4377385,-80.8440528,Child Care Center,Huntersville,"16604 OLD STATESVILLE ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 274-9496,https://thelearningexperience.com/centers/aldie-2/,Yes,60003798,One Star Center License,6/18/2017,0-8,not listed
34,The Learning Experience at Mt Holly,35.3651961,-80.8593971,Child Care Center,Charlotte,"8208 Mt. Holly-Huntersville Rd
HUNTERSVILLE, NC  28216
Mecklenburg County",(980) 299-1811,https://thelearningexperience.com/centers/charlotte-mt-holly/,No,60004376,Three Star Center License,5/19/2025,0-12,"not listed, i filled out a survey?"
35,The Learning Tree,35.405082,-80.8833435,Child Care Center,Huntersville,"8519 GILEAD ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 948-3561,https://thelearningtreelfc.org,No,60003987,GS 110-106,10/3/2019,0-5,"$1440/month (infants)
$1300/month (1 yr old)
$1295/month (2 yr old)
$1245/month (3 yr old)
$1240/month (4 yr old)
$500/month (3 & 4 yr old half day)"
36,The Sunshine House,35.33772807,-80.81279218,Child Care Center,Huntersville,"14420 REESE BOULVARD
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 948-6686,https://sunshinehouse.com/center/sunshine-house-of-huntersville/,Yes,60002302,Four Star Center License,12/21/2017,0-12,"Childcare costs vary by location, your child’s age, and your scheduling needs. We’d love to discuss your options—please contact us so we can walk you through our program and care options."
37,Tiny Hands and Feet,35.3796978,-80.9143958,Family Child Care Home,Huntersville,"11711 RAINY BEND DRIVE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 649-4100,NA,Yes,60003047,Five Star Family CC Home License,7/14/2022,0-12,NA
38,Torrence Creek Elementary Asep,35.4121131,-80.8726172,Child Care Center,Huntersville,"14550 RANSON ROAD
HUNTERSVILLE, NC  28078
Mecklenburg County",(980) 343-0695,https://cmsk12.reg.eleyo.com/child-care/1/after-school-enrichment-program/site/250/torrence-creek-elementary,Yes,60002565,Five Star Center License,4/16/2018,12-Apr,"$51/wk (6:45-8:30 before school)
$69/wk (3:30-6:00 after school)
$115/wk (before & after school)
$??/yr (6:45-6:00 workday/early release)"
39,Unique Kidz,35.3447396,-80.8881289,Family Child Care Home,Charlotte,"4711 FOX THORNE DRIVE
CHARLOTTE, NC  28216
Mecklenburg County",(704) 724-0376,NA,Yes,60002455,Four Star Family CC Home License,9/12/2022,0-12,NA
40,University Child Dev. Center at Northcross,35.4417862,-80.8749091,Child Care Center,Huntersville,"16701 NORTHCROSS DRIVE
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 896-8942,NA,Yes,60000296,Five Star Center License,6/12/2019,0-12,NA
41,Woods Montessori School,35.4404307,-80.9000198,Child Care Center,Huntersville,"15115 NORMAN VIEW LN
HUNTERSVILLE, NC  28078
Mecklenburg County",(704) 885-5080,https://www.woodsmontessorischool.com/,No,60004400,Temporary License,6/17/2025,0-6,"not listed, have to book a consult"
